Text 1,Text 2,Link Count
Jastrow,Jastrow,56061
Klein Dictionary,Klein Dictionary,45948
"Kaf HaChayim on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",30541
Beit Yosef,Tur,18344
Mishnah Berurah,"Shulchan Arukh, Orach Chayim",18023
Prisha,Tur,17027
Derech Chaim,Footnotes and Annotations on Derech Chaim,15380
Bach,Tur,12520
Machatzit HaShekel on Orach Chayim,Magen Avraham,12485
Machatzit HaShekel on Orach Chayim,"Shulchan Arukh, Orach Chayim",12455
Footnotes and Annotations on Gevurot Hashem,Gevurot Hashem,11656
"Be'er HaGolah on Shulchan Arukh, Choshen Mishpat","Shulchan Arukh, Choshen Mishpat",9889
"Beur HaGra on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",9836
Bereishit Rabbah,Etz Yosef on Bereishit Rabbah,9375
"Beur HaGra on Shulchan Arukh, Choshen Mishpat","Shulchan Arukh, Choshen Mishpat",9029
Rashi on Shabbat,Shabbat,8826
"Me'irat Einayim on Shulchan Arukh, Choshen Mishpat","Shulchan Arukh, Choshen Mishpat",8594
"Kaf HaChayim on Shulchan Arukh, Yoreh De'ah","Shulchan Arukh, Yoreh De'ah",8502
"Be'er HaGolah on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",7861
"Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","Shulchan Arukh, Yoreh De'ah",7643
Chullin,Rashi on Chullin,7602
"Beur HaGra on Shulchan Arukh, Yoreh De'ah","Shulchan Arukh, Yoreh De'ah",7500
"Eliyah Rabbah on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",7260
Footnotes and Annotations on Ohr Chadash,Ohr Chadash,6892
"Shulchan Arukh, Yoreh De'ah","Siftei Kohen on Shulchan Arukh, Yoreh De'ah",6735
Bereishit Rabbah,Matnot Kehunah on Bereshit Rabbah,6611
Bava Batra,Rashbam on Bava Batra,6467
Magen Avraham,"Shulchan Arukh, Orach Chayim",6430
Rashi on Sanhedrin,Sanhedrin,6320
"Ba'er Hetev on Shulchan Arukh, Choshen Mishpat","Shulchan Arukh, Choshen Mishpat",6253
Bava Metzia,Rashi on Bava Metzia,5958
Midrash Lekach Tov,Notes and Corrections on Midrash Lekach Tov,5954
Rashi on Zevachim,Zevachim,5661
Be'er HaGolah,Footnotes and Annotations on Be'er HaGolah,5534
"Ba'er Hetev on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",5485
Rashi on Yevamot,Yevamot,5300
Bamidbar Rabbah,Etz Yosef on Bamidbar Rabbah,5258
Bereishit Rabbah,Jastrow,5234
Menachot,Rashi on Menachot,5183
Etz Yosef on Shemot Rabbah,Shemot Rabbah,5179
Ketubot,Rashi on Ketubot,5147
Pesachim,Rashi on Pesachim,5070
Bereishit Rabbah,Perush Maharzu on Bereshit Rabbah,5052
"Shulchan Arukh, Choshen Mishpat","Siftei Kohen on Shulchan Arukh, Choshen Mishpat",4992
Eruvin,Rashi on Eruvin,4969
Duties of the Heart,Pat Lechem,4894
Bava Kamma,Rashi on Bava Kamma,4885
Psalms,Radak on Psalms,4747
"Ba'er Hetev on Shulchan Arukh, Yoreh De'ah","Shulchan Arukh, Yoreh De'ah",4718
Gittin,Rashi on Gittin,4713
Bava Batra,Rabbeinu Gershom on Bava Batra,4507
Chullin,Steinsaltz on Chullin,4448
"Be'er HaGolah on Shulchan Arukh, Even HaEzer","Shulchan Arukh, Even HaEzer",4429
Bava Kamma,Steinsaltz on Bava Kamma,4304
"Beur HaGra on Shulchan Arukh, Even HaEzer","Shulchan Arukh, Even HaEzer",4252
Kiddushin,Rashi on Kiddushin,4212
Bava Kamma,Reshimot Shiurim on Bava Kamma,4202
Sanhedrin,Steinsaltz on Sanhedrin,4161
Bamidbar Rabbah,Perush Maharzu on Bamidbar Rabbah,4105
"Shulchan Arukh, Choshen Mishpat","Urim VeTumim, Urim",4080
"Levushei Serad on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",4067
"Netivot HaMishpat, Hidushim on Shulchan Arukh, Choshen Mishpat","Shulchan Arukh, Choshen Mishpat",4063
Duties of the Heart,Tov haLevanon,4012
Drisha,Tur,3960
Ibn Ezra on Psalms,Psalms,3953
Beit Yosef,Darchei Moshe,3888
Steinsaltz on Yevamot,Yevamot,3868
Bava Batra,Yad Ramah on Bava Batra,3859
Steinsaltz on Zevachim,Zevachim,3808
Bava Batra,Steinsaltz on Bava Batra,3807
Menachot,Steinsaltz on Menachot,3792
Shabbat,Steinsaltz on Shabbat,3754
Jastrow,Shabbat,3738
Sefer Mitzvot Gadol,Tur,3728
Bava Metzia,Reshimot Shiurim on Bava Metzia,3654
Eruvin,Steinsaltz on Eruvin,3651
Bava Metzia,Steinsaltz on Bava Metzia,3650
Metzudat David on Psalms,Psalms,3571
Leviticus,Sifra,3539
Pesachim,Steinsaltz on Pesachim,3515
"Shulchan Arukh, Yoreh De'ah","Turei Zahav on Shulchan Arukh, Yoreh De'ah",3509
Biur Halacha,"Shulchan Arukh, Orach Chayim",3451
Sefer Yereim,Toafot Re'em,3426
Niddah,Rashi on Niddah,3416
Midrash Aggadah,Notes and Corrections on Midrash Aggadah,3370
Genesis,Midrash Lekach Tov,3366
Footnotes and Annotations on Netivot Olam,Netivot Olam,3364
Psalms,Romemot El on Psalms,3364
Avodah Zarah,Rashi on Avodah Zarah,3354
Rashi on Yoma,Yoma,3347
Isaiah,Metzudat David on Isaiah,3298
Pri Megadim on Yoreh De'ah,"Shulchan Arukh, Yoreh De'ah",3210
Perush Maharzu on Shemot Rabbah,Shemot Rabbah,3209
"Shulchan Arukh, Orach Chayim","Turei Zahav on Shulchan Arukh, Orach Chayim",3197
Beit Shmuel,"Shulchan Arukh, Even HaEzer",3196
Berakhot,Rashi on Berakhot,3174
Exodus,Midrash Lekach Tov,3172
Birkat Asher on Torah,Genesis,3165
Ibn Ezra on Isaiah,Isaiah,3161
Bereishit Rabbah,Rashi on Bereshit Rabbah,3145
Leviticus,Torah Temimah on Torah,3055
Bamidbar Rabbah,Matnot Kehunah on Bamidbar Rabbah,3047
Ketubot,Steinsaltz on Ketubot,3031
