Topic 1,Topic 2,Co-occurrence Count
Passover,Pesach,10351.0
Commandments,Mitzvot,7683.0
Haggadah,Pesach,6858.5
Haggadah,Passover,6816.0
Passover,Seder,6775.0
Pesach,Seder,6545.5
Haggadah,Seder,5985.0
High Holidays,Yom Kippur,3790.0
Esther,Purim,3470.0
High Holidays,Rosh Hashanah,3385.0
Prayer,Tefilla,3300.0
Maimonides,Rambam,3185.0
אמונות ודעות,יחיד וחברה,2806.5
Holidays,Sukkot,2799.5
Shavuot,Torah,2782.0
Revelation,Sinai,2770.0
Kabbalah,Rabbi Eliyahu Jian,2646.0
Kabbalah,Vital Transformation,2621.5
Chanukah,Light,2545.0
Revelation,Torah,2520.0
Rosh Hashanah,Yom Kippur,2416.0
Kabbalah,Zohar,2412.0
Rosh Hashanah,Shofar,2388.0
Kabbalah,Rabbi Yehuda Ashlag,2383.5
Rabbi Eliyahu Jian,Vital Transformation,2376.0
Sinai,Torah,2290.0
Holidays,Yom Tov,2123.0
Leadership,Moses,2106.0
Rabbi Yehuda Ashlag,Vital Transformation,2103.0
Rabbi Eliyahu Jian,Rabbi Yehuda Ashlag,2100.0
Community,Torah,2070.0
Maharat,Tanakh,2040.5
Community,Leadership,1917.0
Revelation,Shavuot,1908.0
Chanukah,Hanukkah,1859.0
Commandments,Law,1831.5
Philosophy,Theology,1816.0
Commandments,Obligation,1813.5
אחריות וסולידריות,יחיד וחברה,1804.5
יחיד וחברה,מנהיגות,1797.0
יחיד וחברה,קהילה,1783.5
Kabbalah,Rabbi Yehuda Tzvi Brandwein,1778.0
Eating,Food,1776.0
Kabbalah,Spirituality,1756.0
יחיד וחברה,מעגל השנה,1745.5
Community,Pirkei Avot,1728.0
Mitzvot,Obligation,1692.0
Elul,High Holidays,1690.0
Shavuot,Sinai,1690.0
Torah,Torah Study,1688.0
Law,Mitzvot,1665.0
God,Theology,1664.0
Rabbi Eliyahu Jian,Zohar,1652.0
העם היהודי,יחיד וחברה,1630.0
Vital Transformation,Zohar,1620.5
Blessings,Prayer,1614.0
Ruth,Shavuot,1612.0
Spirituality,Zohar,1600.0
Maharat,Parashah,1587.0
Rabbi Eliyahu Jian,Rabbi Yehuda Tzvi Brandwein,1587.0
Holidays,Tanakh,1578.5
Rabbi Yehuda Tzvi Brandwein,Vital Transformation,1569.0
Rabbi Eliyahu Jian,Spirituality,1550.5
Teshuvah,Yom Kippur,1548.0
Parashah,Tanakh,1547.0
Poverty,Tzedakah,1547.0
Education,Learning,1540.0
Spirituality,Vital Transformation,1540.0
